档,uid,recognition_path,enrollment_path,ref,vanilla_text,vanilla_cer,max_sim,rec_sec,enroll_sec,难点类别,备注
1_死区CER>1,cmd_2788,E:\midea_target_asr\datasetA\pos\cmd_2788.wav,E:\midea_target_asr\datasetA\pos\kws_2788.wav,关掉空调,手手骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨骨,25.25,0.0972,4.28,4.78,,
1_死区CER>1,cmd_2100,E:\midea_target_asr\datasetA\pos\cmd_2100.wav,E:\midea_target_asr\datasetA\pos\kws_2100.wav,风速调到百分之三十,風速風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風風,22.0,0.135,5.43,2.76,,
1_死区CER>1,cmd_2752,E:\midea_target_asr\datasetA\pos\cmd_2752.wav,E:\midea_target_asr\datasetA\pos\kws_2752.wav,关一下空调,下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下 下,19.8,0.2629,4.81,1.75,,
1_死区CER>1,cmd_2265,E:\midea_target_asr\datasetA\pos\cmd_2265.wav,E:\midea_target_asr\datasetA\pos\kws_2265.wav,把风速调到最大,口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口吐口�,19.1429,0.3384,3.0,2.31,,
1_死区CER>1,cmd_2528,E:\midea_target_asr\datasetA\pos\cmd_2528.wav,E:\midea_target_asr\datasetA\pos\kws_2528.wav,风向调到左边,订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅订阅,16.6667,0.2436,2.03,1.71,,
1_死区CER>1,cmd_226,E:\midea_target_asr\datasetA\pos\cmd_226.wav,E:\midea_target_asr\datasetA\pos\kws_226.wav,然后那个窗帘邦邦邦邦邦的给关了对然后那个灯光暗了就是,然後在上面幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫幫,7.6923,0.3524,5.8,1.5,,
1_死区CER>1,cmd_2631,E:\midea_target_asr\datasetA\pos\cmd_2631.wav,E:\midea_target_asr\datasetA\pos\kws_2631.wav,开启ECO,优优独播剧场——YoYo Television Series Exclusive,7.0,0.1213,1.94,1.85,,
1_死区CER>1,cmd_2099,E:\midea_target_asr\datasetA\pos\cmd_2099.wav,E:\midea_target_asr\datasetA\pos\kws_2099.wav,开启自动模式,优优独播剧场——YoYo Television Series Exclusive,6.1667,0.1417,1.72,1.91,,
1_死区CER>1,cmd_2162,E:\midea_target_asr\datasetA\pos\cmd_2162.wav,E:\midea_target_asr\datasetA\pos\kws_2162.wav,便秘不推荐吃什么食物,我以为你不信心吗?我以为你不信心吗?我以为你不信心吗?,2.6,0.3195,2.98,1.75,,
1_死区CER>1,cmd_2310,E:\midea_target_asr\datasetA\pos\cmd_2310.wav,E:\midea_target_asr\datasetA\pos\kws_2310.wav,关闭节能模式,微软来自 Windows 的营收和,2.5,0.2187,2.41,2.08,,
