集,utt_id,id,唤醒音频,唤醒文本,识别音频,ground_truth,模型输出,sim,是否拒识,llm_verdict,噪声类型,CER,正确
POS,utt0000_cmd_0,0,pos/kws_0.wav,你好科慕,pos/cmd_0.wav,空调开到制热调到二十五度风量调到百分之三十,,0.2539,True,,babble,1.0,✗
POS,utt0001_cmd_1,1,pos/kws_1.wav,hi colmo,pos/cmd_1.wav,灯光亮度调到百分之三十,灯光亮度调到百分之三十,0.2936,False,,babble,0.0,✓
POS,utt0002_cmd_2,2,pos/kws_2.wav,hi colmo,pos/cmd_2.wav,洗碗机暂停工作,洗碗机暂停工作,0.413,False,,babble,0.0,✓
POS,utt0003_cmd_3,3,pos/kws_3.wav,hi colmo,pos/cmd_3.wav,所有灯光调到百分之五十,所有灯光调到百分之五十,0.4406,False,,babble,0.0,✓
POS,utt0004_cmd_4,4,pos/kws_4.wav,hi colmo,pos/cmd_4.wav,音乐的声音小一点,音乐的声音小一点,0.4626,False,,babble,0.0,✓
POS,utt0005_cmd_5,5,pos/kws_5.wav,hi colmo,pos/cmd_5.wav,打开回家模式吧,,0.2462,True,,babble,1.0,✗
POS,utt0006_cmd_6,6,pos/kws_6.wav,你好科慕,pos/cmd_6.wav,播放权志龙的歌,播放全智隆的歌,0.3207,False,,babble,0.4286,✓
POS,utt0007_cmd_7,7,pos/kws_7.wav,hi colmo,pos/cmd_7.wav,我要出门了,我要出门了,0.5682,False,,babble,0.0,✓
POS,utt0008_cmd_8,8,pos/kws_8.wav,hi colmo,pos/cmd_8.wav,拉起窗帘,拉起窗帘,0.5297,False,,babble,0.0,✓
POS,utt0009_cmd_9,9,pos/kws_9.wav,你好科慕,pos/cmd_9.wav,元宵节灯会什么时候,人将结灯会什么时候,0.4546,False,,babble,0.3333,✓
POS,utt0010_cmd_10,10,pos/kws_10.wav,hi colmo,pos/cmd_10.wav,关闭悬浮空调,关闭悬浮空调,0.3493,False,,babble,0.0,✓
POS,utt0011_cmd_11,11,pos/kws_11.wav,hi colmo,pos/cmd_11.wav,从医院回来的衣服,从医院回来的衣服啊,0.2725,False,,babble,0.125,✓
POS,utt0012_cmd_12,12,pos/kws_12.wav,你好科慕,pos/cmd_12.wav,关闭客厅空调,关闭客厅空调,0.3764,False,,babble,0.0,✓
POS,utt0013_cmd_13,13,pos/kws_13.wav,hi colmo,pos/cmd_13.wav,打开洗衣服,,0.1551,True,,babble,1.0,✗
POS,utt0014_cmd_14,14,pos/kws_14.wav,hi colmo,pos/cmd_14.wav,空调二十六度风速最大,,0.2155,True,,babble,1.0,✗
POS,utt0015_cmd_15,15,pos/kws_15.wav,hi colmo,pos/cmd_15.wav,关掉顶灯,关掉顶灯,0.3886,False,,babble,0.0,✓
POS,utt0016_cmd_16,16,pos/kws_16.wav,hi colmo,pos/cmd_16.wav,帮我做一个闹钟,帮我做一个闹钟,0.4169,False,,babble,0.0,✓
POS,utt0017_cmd_17,17,pos/kws_17.wav,hi colmo,pos/cmd_17.wav,打开卷帘门呃不卷帘,打开卷帘门 卷帘,0.5855,False,,babble,0.2222,✓
POS,utt0018_cmd_18,18,pos/kws_18.wav,hi colmo,pos/cmd_18.wav,关闭灯光,,0.0619,True,,babble,1.0,✗
POS,utt0019_cmd_19,19,pos/kws_19.wav,hi colmo,pos/cmd_19.wav,我要吃我要我要我要准备做饭,我要吃 我要准备做饭,0.3916,False,,babble,0.3077,✓
POS,utt0020_cmd_20,20,pos/kws_20.wav,hi colmo,pos/cmd_20.wav,客厅灯的色温调到最暖关闭窗关闭客厅窗帘关闭客厅空调,客厅灯的室温调到最暖关闭客厅窗帘关闭客厅空调,0.4025,False,,babble,0.16,✓
POS,utt0021_cmd_21,21,pos/kws_21.wav,你好科慕,pos/cmd_21.wav,把温度调到三十度风量调到百分之六十,把温度调到三十度风量调到百分之六十,0.5738,False,,babble,0.0,✓
POS,utt0022_cmd_22,22,pos/kws_22.wav,hi colmo,pos/cmd_22.wav,打开烘干,打开空间,0.3241,False,,babble,0.5,✗
POS,utt0023_cmd_23,23,pos/kws_23.wav,hi colmo,pos/cmd_23.wav,我准备做饭了,我准备做饭了,0.3912,False,,babble,0.0,✓
POS,utt0024_cmd_24,24,pos/kws_24.wav,你好科慕,pos/cmd_24.wav,关灯关空调打开窗帘,关灯关空调打开窗帘,0.3041,False,,babble,0.0,✓
POS,utt0025_cmd_25,25,pos/kws_25.wav,hi colmo,pos/cmd_25.wav,打开四G,打开,0.2952,False,,babble,0.5,✗
POS,utt0026_cmd_26,26,pos/kws_26.wav,你好科慕,pos/cmd_26.wav,啊把空调关了,把空调关了,0.3362,False,,babble,0.1667,✓
POS,utt0027_cmd_27,27,pos/kws_27.wav,hi colmo,pos/cmd_27.wav,打开闹钟,打开闹钟,0.3366,False,,babble,0.0,✓
POS,utt0028_cmd_28,28,pos/kws_28.wav,你好科慕,pos/cmd_28.wav,客厅灯的色温调为冷色,客厅灯的射温条为冷射,0.5345,False,,babble,0.3,✓
POS,utt0029_cmd_29,29,pos/kws_29.wav,hi colmo,pos/cmd_29.wav,心脏灯的色温调到最冷亮度调到最亮,"心脏跟的测温调到最冷,亮度调到最亮",0.409,False,,babble,0.1875,✓
POS,utt0030_cmd_30,30,pos/kws_30.wav,hi colmo,pos/cmd_30.wav,打开窗帘烟机,,0.2177,True,,babble,1.0,✗
POS,utt0031_cmd_31,31,pos/kws_31.wav,你好科慕,pos/cmd_31.wav,把前厅的灯光调到百分之百亮度,把前厅的灯光调到百分之百亮度,0.6165,False,,babble,0.0,✓
POS,utt0032_cmd_32,32,pos/kws_32.wav,你好科慕,pos/cmd_32.wav,LADY GAGA最新的专辑叫什么,,0.5825,True,,babble,1.0,✗
POS,utt0033_cmd_33,33,pos/kws_33.wav,hi colmo,pos/cmd_33.wav,这一年我从直播小白到第一次扛相机去工地拍,,0.2841,True,,babble,1.0,✗
POS,utt0034_cmd_34,34,pos/kws_34.wav,hi colmo,pos/cmd_34.wav,日光模式,日光模式,0.3889,False,,babble,0.0,✓
POS,utt0035_cmd_35,35,pos/kws_35.wav,你好科慕,pos/cmd_35.wav,关掉音乐,关掉音乐,0.4929,False,,babble,0.0,✓
POS,utt0036_cmd_36,36,pos/kws_36.wav,hi colmo,pos/cmd_36.wav,开启客厅灯光,开启客厅灯光,0.4512,False,,babble,0.0,✓
POS,utt0037_cmd_37,37,pos/kws_37.wav,hi colmo,pos/cmd_37.wav,嗯打开油烟机,打开留言键,0.5019,False,,babble,0.6667,✗
POS,utt0038_cmd_38,38,pos/kws_38.wav,hi colmo,pos/cmd_38.wav,我要做饭了然后它就自动降下,我要做饭了腰台自动降下,0.4845,False,,babble,0.3077,✓
POS,utt0039_cmd_39,39,pos/kws_39.wav,hi colmo,pos/cmd_39.wav,打开客厅空调,打开客厅公帖,0.3836,False,,babble,0.3333,✓
POS,utt0040_cmd_40,40,pos/kws_40.wav,hi colmo,pos/cmd_40.wav,关闭氛围灯,关闭氛围灯,0.3152,False,,babble,0.0,✓
POS,utt0041_cmd_41,41,pos/kws_41.wav,hi colmo,pos/cmd_41.wav,室内有点暗调亮一点,"室内有点暗,调亮一点",0.4667,False,,babble,0.1111,✓
POS,utt0042_cmd_42,42,pos/kws_42.wav,hi colmo,pos/cmd_42.wav,帮我预约十四点,,0.2086,True,,babble,1.0,✗
POS,utt0043_cmd_43,43,pos/kws_43.wav,hi colmo,pos/cmd_43.wav,灯光有点暗,灯光有点暗,0.3195,False,,babble,0.0,✓
POS,utt0044_cmd_44,44,pos/kws_44.wav,hi colmo,pos/cmd_44.wav,我想看电影,我想看电影,0.5566,False,,babble,0.0,✓
POS,utt0045_cmd_45,45,pos/kws_45.wav,hi colmo,pos/cmd_45.wav,关闭纱帘,关给三人,0.2873,False,,babble,0.75,✗
POS,utt0046_cmd_46,46,pos/kws_46.wav,你好科慕,pos/cmd_46.wav,放周杰伦的歌,,0.17,True,,babble,1.0,✗
POS,utt0047_cmd_47,47,pos/kws_47.wav,hi colmo,pos/cmd_47.wav,把空调温度调到二十八度,把空调温度调到二十八度,0.4393,False,,babble,0.0,✓
POS,utt0048_cmd_48,48,pos/kws_48.wav,hi colmo,pos/cmd_48.wav,灯光亮度调到最高,灯光亮度调到最高,0.5002,False,,babble,0.0,✓
POS,utt0049_cmd_49,49,pos/kws_49.wav,hi colmo,pos/cmd_49.wav,烟机下降,,0.2386,True,,babble,1.0,✗
POS,utt0050_cmd_50,50,pos/kws_50.wav,你好科慕,pos/cmd_50.wav,灯的色温调到五千,蹲了四万条到五千,0.3683,False,,babble,0.625,✗
POS,utt0051_cmd_51,51,pos/kws_51.wav,hi colmo,pos/cmd_51.wav,你好科慕你好科慕,你好 方默,0.3267,False,,babble,0.75,✗
POS,utt0052_cmd_52,52,pos/kws_52.wav,你好科慕,pos/cmd_52.wav,空调换气,空调换系,0.5802,False,,babble,0.25,✓
POS,utt0053_cmd_53,53,pos/kws_53.wav,你好科慕,pos/cmd_53.wav,权志龙最新的歌专辑叫什么名字,全智隆最新的专辑教程名字,0.5179,False,,babble,0.5,✗
POS,utt0054_cmd_54,54,pos/kws_54.wav,hi colmo,pos/cmd_54.wav,我要吃饭,我要吃饭,0.2754,False,,white,0.0,✓
POS,utt0055_cmd_55,55,pos/kws_55.wav,hi colmo,pos/cmd_55.wav,打开烟机打开洗衣模式打开新风模式,打开烟机打开洗衣模式打开新风模式,0.3809,False,,babble,0.0,✓
POS,utt0056_cmd_56,56,pos/kws_56.wav,hi colmo,pos/cmd_56.wav,羊绒大衣要怎么洗,,0.2404,True,,babble,1.0,✗
POS,utt0057_cmd_57,57,pos/kws_57.wav,hi colmo,pos/cmd_57.wav,空调调为十二度,所以,0.3236,False,,babble,1.0,✗
POS,utt0058_cmd_58,58,pos/kws_58.wav,hi colmo,pos/cmd_58.wav,我要休息我要睡觉了,我要睡觉了,0.3271,False,,babble,0.4444,✓
POS,utt0059_cmd_59,59,pos/kws_59.wav,hi colmo,pos/cmd_59.wav,关闭顶灯,关闭顶灯,0.491,False,,babble,0.0,✓
POS,utt0060_cmd_60,60,pos/kws_60.wav,hi colmo,pos/cmd_60.wav,打开chatgpt,我看你有二PT,0.289,False,,babble,1.0,✗
POS,utt0061_cmd_61,61,pos/kws_61.wav,你好科慕,pos/cmd_61.wav,打开客厅空调温度调整到二十三最低风速打开窗帘,打开客厅空调温度调整到二十三最低风速打开窗帘,0.7142,False,,babble,0.0,✓
POS,utt0062_cmd_62,62,pos/kws_62.wav,hi colmo,pos/cmd_62.wav,风速最低,,0.1892,True,,babble,1.0,✗
POS,utt0063_cmd_63,63,pos/kws_63.wav,hi colmo,pos/cmd_63.wav,所有灯光打开,所有灯光打开,0.2703,False,,babble,0.0,✓
POS,utt0064_cmd_64,64,pos/kws_64.wav,你好科慕,pos/cmd_64.wav,取消勃朗烤箱,,0.1301,True,,babble,1.0,✗
POS,utt0065_cmd_65,65,pos/kws_65.wav,hi colmo,pos/cmd_65.wav,我回家啦,我回家了,0.5022,False,,babble,0.25,✓
POS,utt0066_cmd_66,66,pos/kws_66.wav,hi colmo,pos/cmd_66.wav,油烟机打开,油烟机打开,0.3938,False,,babble,0.0,✓
POS,utt0067_cmd_67,67,pos/kws_67.wav,hi colmo,pos/cmd_67.wav,备餐模式,备餐模式,0.4046,False,,babble,0.0,✓
POS,utt0068_cmd_68,68,pos/kws_68.wav,hi colmo,pos/cmd_68.wav,嵌入式饮水机,嵌入市营水机,0.5894,False,,babble,0.3333,✓
POS,utt0069_cmd_69,69,pos/kws_69.wav,hi colmo,pos/cmd_69.wav,恢复,恢复,0.4362,False,,babble,0.0,✓
POS,utt0070_cmd_70,70,pos/kws_70.wav,hi colmo,pos/cmd_70.wav,我要用餐了,我要用残懒,0.5357,False,,babble,0.4,✓
POS,utt0071_cmd_71,71,pos/kws_71.wav,你好科慕,pos/cmd_71.wav,把所有灯光调到亮度调到百分之一百,把所有的亮度调到百分之一百,0.3073,False,,babble,0.25,✓
POS,utt0072_cmd_72,72,pos/kws_72.wav,hi colmo,pos/cmd_72.wav,关闭冰箱,,0.0921,True,,pink,1.0,✗
POS,utt0073_cmd_73,73,pos/kws_73.wav,hi colmo,pos/cmd_73.wav,关掉油烟机,关掉有ND,0.4242,False,,babble,0.6,✗
POS,utt0074_cmd_74,74,pos/kws_74.wav,你好科慕,pos/cmd_74.wav,灯的色温调暖一点空调温度调低一点关闭窗帘,灯的身份调暖一点空调温度调低一点关闭窗帘,0.4751,False,,babble,0.1,✓
POS,utt0075_cmd_75,75,pos/kws_75.wav,hi colmo,pos/cmd_75.wav,哎这个怎么没通电哈,,0.1377,True,,babble,1.0,✗
POS,utt0076_cmd_76,76,pos/kws_76.wav,你好科慕,pos/cmd_76.wav,打开客厅所有灯,,0.1855,True,,babble,1.0,✗
POS,utt0077_cmd_77,77,pos/kws_77.wav,hi colmo,pos/cmd_77.wav,打开厨房,打开厨房,0.5521,False,,babble,0.0,✓
POS,utt0078_cmd_78,78,pos/kws_78.wav,hi colmo,pos/cmd_78.wav,我要吃饭了啊不对,我要吃饭了,0.4309,False,,babble,0.375,✓
POS,utt0079_cmd_79,79,pos/kws_79.wav,hi colmo,pos/cmd_79.wav,关掉客厅灯光,关掉客厅灯光,0.4966,False,,babble,0.0,✓
POS,utt0080_cmd_80,80,pos/kws_80.wav,你好科慕,pos/cmd_80.wav,打开唯一唤醒,打开唯一换行,0.3239,False,,babble,0.3333,✓
POS,utt0081_cmd_81,81,pos/kws_81.wav,你好科慕,pos/cmd_81.wav,声音大一点,,0.4178,True,,babble,1.0,✗
POS,utt0082_cmd_82,82,pos/kws_82.wav,hi colmo,pos/cmd_82.wav,恢复日常模式,,0.2262,True,,babble,1.0,✗
POS,utt0083_cmd_83,83,pos/kws_83.wav,hi colmo,pos/cmd_83.wav,关掉客厅的灯,关掉客厅的灯,0.3571,False,,babble,0.0,✓
POS,utt0084_cmd_84,84,pos/kws_84.wav,hi colmo,pos/cmd_84.wav,室内有点暗调亮一点然后把窗帘开到最大,室内有点暗调亮一点然后把窗帘开到最大,0.4366,False,,babble,0.0,✓
POS,utt0085_cmd_85,85,pos/kws_85.wav,hi colmo,pos/cmd_85.wav,取消闹钟,,0.215,True,,babble,1.0,✗
POS,utt0086_cmd_86,86,pos/kws_86.wav,你好科慕,pos/cmd_86.wav,怎么打开无风感,怎么打开无风感,0.6041,False,,babble,0.0,✓
POS,utt0087_cmd_87,87,pos/kws_87.wav,hi colmo,pos/cmd_87.wav,座椅感化那个屏,昨天刚画的那个品质,0.3566,False,,babble,1.0,✗
POS,utt0088_cmd_88,88,pos/kws_88.wav,你好科慕,pos/cmd_88.wav,会议模式,会议模式,0.4175,False,,babble,0.0,✓
POS,utt0089_cmd_89,89,pos/kws_89.wav,你好科慕,pos/cmd_89.wav,窗帘的叶片帮我调整到一百八十度,窗帘的叶片帮我调整到一百八十度,0.5678,False,,babble,0.0,✓
POS,utt0090_cmd_90,90,pos/kws_90.wav,hi colmo,pos/cmd_90.wav,我有点热,我有点热,0.3101,False,,babble,0.0,✓
POS,utt0091_cmd_91,91,pos/kws_91.wav,hi colmo,pos/cmd_91.wav,开启窗帘,开启窗帘,0.3558,False,,babble,0.0,✓
POS,utt0092_cmd_92,92,pos/kws_92.wav,hi colmo,pos/cmd_92.wav,我有点冷,我有点乐,0.4482,False,,babble,0.25,✓
POS,utt0093_cmd_93,93,pos/kws_93.wav,hi colmo,pos/cmd_93.wav,约下午四点洗衣服,,0.2395,True,,babble,1.0,✗
POS,utt0094_cmd_94,94,pos/kws_94.wav,hi colmo,pos/cmd_94.wav,进入我要吃饭了场景设置,进入我要吃饭了场景设置,0.4694,False,,babble,0.0,✓
POS,utt0095_cmd_95,95,pos/kws_95.wav,hi colmo,pos/cmd_95.wav,开启一键净呼吸,开启一键静呼吸,0.4501,False,,babble,0.1429,✓
POS,utt0096_cmd_96,96,pos/kws_96.wav,hi colmo,pos/cmd_96.wav,打开洗衣机,,0.1355,True,,babble,1.0,✗
POS,utt0097_cmd_97,97,pos/kws_97.wav,你好科慕,pos/cmd_97.wav,把前厅灯光调到亮度百分之百,把前厅灯光调到亮度百分之百,0.485,False,,babble,0.0,✓
POS,utt0098_cmd_98,98,pos/kws_98.wav,你好科慕,pos/cmd_98.wav,全智能,全这种,0.3289,False,,babble,0.6667,✗
POS,utt0099_cmd_99,99,pos/kws_99.wav,hi colmo,pos/cmd_99.wav,打开干衣机门,,0.2477,True,,babble,1.0,✗
POS,utt0100_cmd_100,100,pos/kws_100.wav,hi colmo,pos/cmd_100.wav,拉杆洗烘套装,大概是红套装的,0.3179,False,,babble,0.8333,✗
POS,utt0101_cmd_101,101,pos/kws_101.wav,hi colmo,pos/cmd_101.wav,闭所有灯光,闭所有灯光,0.4865,False,,babble,0.0,✓
POS,utt0102_cmd_102,102,pos/kws_102.wav,你好科慕,pos/cmd_102.wav,关闭图灵厨房的灯,关闭图灵厨房的灯,0.3071,False,,babble,0.0,✓
POS,utt0103_cmd_103,103,pos/kws_103.wav,hi colmo,pos/cmd_103.wav,灯光常亮冷色调,灯光闪亮灯射掉,0.3575,False,,babble,0.5714,✗
POS,utt0104_cmd_104,104,pos/kws_104.wav,hi colmo,pos/cmd_104.wav,那窗帘要关吗这些,那窗帘要关吗谢谢,0.3808,False,,babble,0.25,✓
POS,utt0105_cmd_105,105,pos/kws_105.wav,你好科慕,pos/cmd_105.wav,墅智专家墅智专家的灯,,0.2085,True,,babble,1.0,✗
POS,utt0106_cmd_106,106,pos/kws_106.wav,hi colmo,pos/cmd_106.wav,关闭洗衣机,关闭席机,0.3262,False,,babble,0.4,✓
POS,utt0107_cmd_107,107,pos/kws_107.wav,hi colmo,pos/cmd_107.wav,室内有点暗,室内有点暗,0.3608,False,,pink,0.0,✓
POS,utt0108_cmd_108,108,pos/kws_108.wav,hi colmo,pos/cmd_108.wav,因为我叫colmo就是唤醒它,因为我叫Komo就是唤醒他,0.3606,False,,babble,0.2143,✓
POS,utt0109_cmd_109,109,pos/kws_109.wav,hi colmo,pos/cmd_109.wav,干衣机开门,,0.18,True,,babble,1.0,✗
POS,utt0110_cmd_110,110,pos/kws_110.wav,hi colmo,pos/cmd_110.wav,正常才有我一个人说话嘛它这个就很灵敏了就一直回答到你但是那个它就是会延迟,,0.5882,True,,babble,1.0,✗
POS,utt0111_cmd_111,111,pos/kws_111.wav,hi colmo,pos/cmd_111.wav,关闭星香空调,,0.0945,True,,babble,1.0,✗
POS,utt0112_cmd_112,112,pos/kws_112.wav,你好科慕,pos/cmd_112.wav,我要看电影咯,我要看电影了,0.5779,False,,babble,0.1667,✓
POS,utt0113_cmd_113,113,pos/kws_113.wav,hi colmo,pos/cmd_113.wav,我要吃做饭了,我要吃做饭了,0.491,False,,babble,0.0,✓
POS,utt0114_cmd_114,114,pos/kws_114.wav,hi colmo,pos/cmd_114.wav,调成冷色调常亮,调成冷色调常亮,0.4517,False,,babble,0.0,✓
POS,utt0115_cmd_115,115,pos/kws_115.wav,hi colmo,pos/cmd_115.wav,打开烟机打开洗游衣,打开眼睛打开小眼,0.4541,False,,babble,0.5556,✗
POS,utt0116_cmd_116,116,pos/kws_116.wav,你好科慕,pos/cmd_116.wav,帮我播放周笔畅的贪,帮我播放周比昌的Time,0.4929,False,,babble,0.6667,✗
POS,utt0117_cmd_117,117,pos/kws_117.wav,hi colmo,pos/cmd_117.wav,帮我打开冰箱门还有抽油烟机还有洗衣机筒还有新风,,0.5418,True,,babble,1.0,✗
POS,utt0118_cmd_118,118,pos/kws_118.wav,hi colmo,pos/cmd_118.wav,烟机自动开启灯光精准的聚焦在非餐区,,0.0773,True,,babble,1.0,✗
POS,utt0119_cmd_119,119,pos/kws_119.wav,你好科慕,pos/cmd_119.wav,打开客厅智能灯,,0.1473,True,,babble,1.0,✗
POS,utt0120_cmd_120,120,pos/kws_120.wav,你好科慕,pos/cmd_120.wav,干衣机怎么使用,干衣机怎么使用,0.3523,False,,babble,0.0,✓
POS,utt0121_cmd_121,121,pos/kws_121.wav,hi colmo,pos/cmd_121.wav,空调调为二十六度,,0.2311,True,,babble,1.0,✗
POS,utt0122_cmd_122,122,pos/kws_122.wav,hi colmo,pos/cmd_122.wav,什么打开我们的座椅安装等等就可以实现,打开我们的座椅按摩等等就可以实现,0.463,False,,babble,0.2222,✓
POS,utt0123_cmd_123,123,pos/kws_123.wav,hi colmo,pos/cmd_123.wav,打开顶灯,打开顶灯,0.503,False,,babble,0.0,✓
POS,utt0124_cmd_124,124,pos/kws_124.wav,hi colmo,pos/cmd_124.wav,空调调为最低风速,空调调为最低风速,0.308,False,,babble,0.0,✓
POS,utt0125_cmd_125,125,pos/kws_125.wav,hi colmo,pos/cmd_125.wav,预约下午十四,,0.2133,True,,babble,1.0,✗
POS,utt0126_cmd_126,126,pos/kws_126.wav,hi colmo,pos/cmd_126.wav,客厅灯光亮度调到百分之十,客厅灯光亮度调到百分之十,0.2903,False,,babble,0.0,✓
POS,utt0127_cmd_127,127,pos/kws_127.wav,hi colmo,pos/cmd_127.wav,我准备进厨房了,我准备进厨房了,0.5337,False,,babble,0.0,✓
