集,id,唤醒音频,唤醒文本,识别音频,识别文本
POS,0,pos/kws_0.wav,你好科慕,pos/cmd_0.wav,空调开到制热调到二十五度风量调到百分之三十
POS,1,pos/kws_1.wav,hi colmo,pos/cmd_1.wav,灯光亮度调到百分之三十
POS,2,pos/kws_2.wav,hi colmo,pos/cmd_2.wav,洗碗机暂停工作
POS,3,pos/kws_3.wav,hi colmo,pos/cmd_3.wav,所有灯光调到百分之五十
POS,4,pos/kws_4.wav,hi colmo,pos/cmd_4.wav,音乐的声音小一点
POS,5,pos/kws_5.wav,hi colmo,pos/cmd_5.wav,打开回家模式吧
POS,6,pos/kws_6.wav,你好科慕,pos/cmd_6.wav,播放权志龙的歌
POS,7,pos/kws_7.wav,hi colmo,pos/cmd_7.wav,我要出门了
POS,8,pos/kws_8.wav,hi colmo,pos/cmd_8.wav,拉起窗帘
POS,9,pos/kws_9.wav,你好科慕,pos/cmd_9.wav,元宵节灯会什么时候
POS,10,pos/kws_10.wav,hi colmo,pos/cmd_10.wav,关闭悬浮空调
POS,11,pos/kws_11.wav,hi colmo,pos/cmd_11.wav,从医院回来的衣服
POS,12,pos/kws_12.wav,你好科慕,pos/cmd_12.wav,关闭客厅空调
POS,13,pos/kws_13.wav,hi colmo,pos/cmd_13.wav,打开洗衣服
POS,14,pos/kws_14.wav,hi colmo,pos/cmd_14.wav,空调二十六度风速最大
POS,15,pos/kws_15.wav,hi colmo,pos/cmd_15.wav,关掉顶灯
POS,16,pos/kws_16.wav,hi colmo,pos/cmd_16.wav,帮我做一个闹钟
POS,17,pos/kws_17.wav,hi colmo,pos/cmd_17.wav,打开卷帘门呃不卷帘
POS,18,pos/kws_18.wav,hi colmo,pos/cmd_18.wav,关闭灯光
POS,19,pos/kws_19.wav,hi colmo,pos/cmd_19.wav,我要吃我要我要我要准备做饭
POS,20,pos/kws_20.wav,hi colmo,pos/cmd_20.wav,客厅灯的色温调到最暖关闭窗关闭客厅窗帘关闭客厅空调
POS,21,pos/kws_21.wav,你好科慕,pos/cmd_21.wav,把温度调到三十度风量调到百分之六十
POS,22,pos/kws_22.wav,hi colmo,pos/cmd_22.wav,打开烘干
POS,23,pos/kws_23.wav,hi colmo,pos/cmd_23.wav,我准备做饭了
POS,24,pos/kws_24.wav,你好科慕,pos/cmd_24.wav,关灯关空调打开窗帘
POS,25,pos/kws_25.wav,hi colmo,pos/cmd_25.wav,打开四G
POS,26,pos/kws_26.wav,你好科慕,pos/cmd_26.wav,啊把空调关了
POS,27,pos/kws_27.wav,hi colmo,pos/cmd_27.wav,打开闹钟
POS,28,pos/kws_28.wav,你好科慕,pos/cmd_28.wav,客厅灯的色温调为冷色
POS,29,pos/kws_29.wav,hi colmo,pos/cmd_29.wav,心脏灯的色温调到最冷亮度调到最亮
POS,30,pos/kws_30.wav,hi colmo,pos/cmd_30.wav,打开窗帘烟机
POS,31,pos/kws_31.wav,你好科慕,pos/cmd_31.wav,把前厅的灯光调到百分之百亮度
POS,32,pos/kws_32.wav,你好科慕,pos/cmd_32.wav,LADY GAGA最新的专辑叫什么
POS,33,pos/kws_33.wav,hi colmo,pos/cmd_33.wav,这一年我从直播小白到第一次扛相机去工地拍
POS,34,pos/kws_34.wav,hi colmo,pos/cmd_34.wav,日光模式
